Mode,Frequency_Hz,Trial,Speed_cm_s,Speed_m_s,Power_W,Energy_J,COT,Reynolds_number,Strouhal_number
subcarangiform,1,6,1.95523597172601,0.0195523597172601,1.64934572548015,33.5905018639028,8.43030605298721,9978.29413885341,4.07214275674943
carangiform,1,1,2.71466702015652,0.0271466702015652,1.60297485966355,23.6167112458487,5.90120857975403,13853.9523657875,2.91674814671874
carangiform,1,2,3.16604852672243,0.0316604852672243,1.60206656417945,20.0783962770538,5.05700997583867,16157.51955997,2.50090923533535
carangiform,1,3,2.57190079022088,0.0257190079022088,1.60092325392875,24.9725840740322,6.22081264801628,13125.3633586328,3.07865685570243
carangiform,1,4,2.54665406149876,0.0254665406149876,1.59505856871317,25.4124637682042,6.25946911777655,12996.5199408173,3.10917769307861
carangiform,1,5,2.34672344419186,0.0234672344419186,1.5961185877162,26.8402516249254,6.79726284453151,11976.1998691229,3.37406609185119
carangiform,1,6,2.24314877003112,0.0224314877003112,1.60246527508479,27.961516141634,7.1393943353922,11447.619902788,3.52985950186895
thunniform,1,1,1.89016915349757,0.0189016915349757,1.55379175404541,38.892018155858,8.21529119334116,9646.23403953481,4.26258146531029
thunniform,1,2,2.42505117880631,0.0242505117880631,1.55766812067416,25.8557428275195,6.41925819314962,12375.9353417284,3.32240410858706
thunniform,1,3,2.12402713606206,0.0212402713606206,1.55332613224417,28.9445694994709,7.3085867897566,10839.6980359482,3.79326603846393
thunniform,1,4,2.44249185240413,0.0244249185240413,1.54706365104842,24.9571314929176,6.33003162072266,12464.9415658647,3.29868039971947
thunniform,1,5,2.89075446076984,0.0289075446076984,1.55884697923666,21.8442827583607,5.3891851213961,14752.5918660861,2.78716165947015
thunniform,1,6,1.84521129484637,0.0184521129484637,1.54808660900334,33.3672652764124,8.38455408517507,9416.7974170699,4.36643761205181
ostraciiform,1,1,4.76179637163672,0.0476179637163672,1.72314123285136,14.4158137874766,3.61643676640493,24301.2124943528,1.72056916352009
ostraciiform,1,2,5.01165510055316,0.0501165510055316,1.70697595822073,13.8247144608277,3.40390201371465,25576.3342322612,1.63478927332723
ostraciiform,1,3,5.30435511558006,0.0530435511558006,1.7080673099114,13.037603838967,3.21812723160189,27070.0909381625,1.54457984457627
ostraciiform,1,4,5.05072691351261,0.0505072691351261,1.70065093842808,13.4316212254797,3.36505460951443,25775.7321810947,1.62214274109349
ostraciiform,1,5,5.27234212460886,0.0527234212460886,1.71244162711456,12.9544853216546,3.24595887503678,26906.7167752511,1.55395833699009
ostraciiform,1,6,5.37595380031672,0.0537595380031672,1.70852232932235,12.8703593862696,3.17611304942133,27435.4855742006,1.52400863257369
anguilliform,1.5,1,1.06654900166309,0.0106654900166309,1.60616380272971,60.2841681374059,15.0501158005479,5442.99501747611,6.97014388312966
anguilliform,1.5,2,1.00227204866441,0.0100227204866441,1.60463479282565,64.9492365200759,16.000052459115,5114.96589329635,7.41714787906764
anguilliform,1.5,3,1.16180552186025,0.0116180552186025,1.60580072266457,54.9168358522202,13.8130324990561,5929.12435987557,6.39866127344351
anguilliform,1.5,4,1.35292476017443,0.0135292476017443,1.59992104850794,53.7555837232342,11.8183195337507,6904.47669742948,5.49476232443375
anguilliform,1.5,5,0.976137254789608,0.00976137254789608,1.59669862020944,65.6242985792804,16.3471814299259,4981.59034972405,7.61573227896346
anguilliform,1.5,6,1.0611206663449,0.010611206663449,1.60149863704609,60.1618698856008,15.0831698400408,5415.29220959388,7.00580078758326
